allergen_code,label_el,label_en,scope_notes
ALG_GLUTEN,Δημητριακά που περιέχουν γλουτένη,Cereals containing gluten,"Σιτάρι, σίκαλη, κριθάρι, βρώμη, όλυρα/spelt, kamut ή υβριδικά στελέχη και προϊόντα τους. Εξαιρέσεις όπως ορίζονται στο Annex II."
ALG_CRUSTACEANS,Καρκινοειδή,Crustaceans,"Γαρίδες, καραβίδες, αστακός, καβούρι και προϊόντα τους."
ALG_EGGS,Αυγά,Eggs,Αυγά και προϊόντα αυγών.
ALG_FISH,Ψάρια,Fish,Ψάρια και προϊόντα τους. Υπάρχουν ειδικές εξαιρέσεις για συγκεκριμένες χρήσεις ζελατίνης/isinglass.
ALG_PEANUTS,Αραχίδες,Peanuts,Αραχίδες/φιστίκια αράπικα και προϊόντα τους.
ALG_SOY,Σόγια,Soybeans,"Σόγια και προϊόντα της. Εξαιρέσεις μόνο όπως ορίζονται στο Annex II, π.χ. fully refined soybean oil/fat υπό προϋποθέσεις."
ALG_MILK,Γάλα και λακτόζη,Milk and lactose,"Γάλα και προϊόντα γάλακτος, συμπεριλαμβανομένης της λακτόζης. Εξαιρέσεις όπως whey used for distillates και lactitol."
ALG_NUTS,Ξηροί καρποί με κέλυφος,Tree nuts,"Αμύγδαλα, φουντούκια, καρύδια, κάσιους, πεκάν, Brazil nuts, φιστίκια Αιγίνης, macadamia/Queensland nuts και προϊόντα τους."
ALG_CELERY,Σέλινο,Celery,Σέλινο και προϊόντα του.
ALG_MUSTARD,Μουστάρδα,Mustard,Μουστάρδα και προϊόντα της.
ALG_SESAME,Σουσάμι,Sesame,Σπόροι σουσαμιού και προϊόντα τους.
ALG_SULPHITES,Διοξείδιο του θείου και θειώδη,Sulphur dioxide and sulphites,"Σε συγκεντρώσεις >10 mg/kg ή >10 mg/L ως συνολικό SO₂, όπως έτοιμο προς κατανάλωση ή ανασυσταμένο."
ALG_LUPIN,Λούπινο,Lupin,Λούπινο και προϊόντα του.
ALG_MOLLUSCS,Μαλάκια,Molluscs,"Μύδια, στρείδια, χτένια, καλαμάρι, χταπόδι, σουπιές, σαλιγκάρια και προϊόντα τους."
