category,ingredient,purchase_form,process_basis,default_yield_pct,default_loss_pct,cooked_yield_factor,default_allergens,confidence,notes
Λαχανικά,Ντομάτα,ολόκληρη,"πλύσιμο/κοπή, αφαίρεση κοτσανιού",0.95,0.05,—,—,Μέση,Για concassé/ξεσπόριασμα μπορεί να πέσει 70–85%.
Λαχανικά,Ντομάτα cherry,ολόκληρη,πλύσιμο/χωρίς κοπή,0.98,0.02,—,—,Μέση,Σχεδόν μηδενική φύρα αν δεν αφαιρείται τίποτα.
Λαχανικά,Αγγούρι,ολόκληρο,"πλύσιμο/κοπή, με φλούδα",0.95,0.05,—,—,Μέση,Αν ξεφλουδίζεται/αφαιρούνται σπόρια: 75–88%.
Λαχανικά,Πιπεριά,ολόκληρη,αφαίρεση κοτσανιού/σπόρων,0.82,0.18,—,—,Μέση,Μεγάλη διαφοροποίηση ανά μέγεθος και πάχος.
Λαχανικά,Κρεμμύδι ξερό,ολόκληρο,καθάρισμα/φλούδα/άκρες,0.88,0.12,—,—,Υψηλή,Συνήθως 10–15% φύρα.
Λαχανικά,Κρεμμύδι φρέσκο,ματσάκι,καθάρισμα ριζών/μαραμένων φύλλων,0.78,0.22,—,—,Μέση,Αλλάζει πολύ ανά ποιότητα/μήκος πρασίνου.
Λαχανικά,Σκόρδο,κεφάλι,καθάρισμα σκελίδων,0.85,0.15,—,—,Μέση,Αν αγοράζεται καθαρισμένο: 98–100%.
Λαχανικά,Πατάτα,ολόκληρη,πλύσιμο/καθάρισμα,0.82,0.18,—,—,Μέση,Με φλούδα: 95–98%. Καθαρισμένη: 75–90% ανά μέγεθος.
Λαχανικά,Πατάτα baby,ολόκληρη,πλύσιμο/με φλούδα,0.97,0.03,—,—,Μέση,Για ψητή/βραστή με φλούδα.
Λαχανικά,Γλυκοπατάτα,ολόκληρη,καθάρισμα,0.82,0.18,—,—,Μέση,"Παρόμοια με πατάτα, συχνά λίγο μεγαλύτερη φύρα."
